canonical_id,detloc,detloc_source
2082,JAKHOLD,marshall
2083,BILHOLD,marshall
2084,HELHOLD,marshall
2085,CLTHOLD,marshall
2086,HENHOLD,marshall
2087,RDUHOLD,marshall
2088,GRFHOLD,marshall
2089,GRIHOLD,marshall
2090,NRPHOLD,marshall
2091,OMAHOLD,marshall
2092,MANHOLD,marshall
2093,ABQHOLD,marshall
2094,LVGHOLD,marshall
2095,RENHOLD,marshall
2096,ALBHOLD,marshall
2097,CBPHOLD,marshall
2098,CMDHOLD,marshall
2099,VRK,marshall
2100,CINHOLD,marshall
2101,CLEHOLD,marshall
2102,CLMHOLD,marshall
2103,OKCHOLD,marshall
2104,EUGHOLD,marshall
2105,MEDHOLD,marshall
2106,POOHOLD,marshall
2107,PITHOLD,marshall
2108,PKEHOLD,marshall
2109,AGC,marshall
2110,SAJHOLD,marshall
2111,SJUHOLD,marshall
2112,PROHOLD,marshall
2113,CHLHOLD,marshall
2114,COAHOLD,marshall
2115,GRRHOLD,marshall
2116,RPCHOLD,marshall
2117,SFDHOLD,marshall
2118,CNGHOLD,marshall
2119,KNXHOLD,marshall
2120,MEMHOLD,marshall
2121,NSVHOLD,marshall
2122,AMTHOLD,marshall
2123,ATTHOLD,marshall
2124,AUSHOLD,marshall
2125,BSCHOLD,marshall
2126,DLRHOLD,marshall
2127,EPCPCTX,marshall
2128,LBKHOLD,marshall
2129,LRDHOLD,marshall
2130,LSFHOLD,marshall
2131,MLDHOLD,marshall
2132,PCSHOLD,marshall
2133,PDNHOLD,marshall
2134,PRLHOLD,marshall
2135,RGS,marshall
2136,SAGHOLD,marshall
2137,STDHOLD,marshall
2138,WCTHOLD,marshall
2139,OGUHOLD,marshall
2140,PRUHOLD,marshall
2141,SGUHOLD,marshall
2142,HBGHOLD,marshall
2143,NORHOLD,marshall
2144,RCMHOLD,marshall
2145,CHAHOLD,marshall
2146,STAHOLD,marshall
2147,YAKHOLD,marshall
2148,MILHOLD,marshall
2149,CHYHOLD,marshall
2150,CSPHOLD,marshall
2151,ANCHOLD,marshall
2152,MOAHOLD,marshall
2153,AZSVCPC,marshall
2154,REDHOLD,marshall
2155,SMAHOLD,marshall
2156,CSDHOLD,marshall
2157,IBPSMIA,marshall
2158,BLGHOLD,marshall
2159,SALHOLD,marshall
2160,DULHOLD,marshall
2161,MLJHOLD,marshall
2162,LASHOLD,marshall
2163,RSWHOLD,marshall
2164,CHMHOLD,marshall
2165,CIPHOLD,marshall
2166,NBGHOLD,marshall
2167,SYRHOLD,marshall
2168,TULHOLD,marshall
2169,WPOHOLD,marshall
2170,YRKHOLD,marshall
2171,CRPHOLD,marshall
2172,EPSSFTX,marshall
2173,MCAHOLD,marshall
2174,MTGHOLD,marshall
2175,LTVHOLD,marshall
2176,RMKHOLD,marshall
2177,FDLHOLD,marshall
2178,RICHOLD,marshall
2179,SPOHOLD,marshall
2180,WNTHOLD,marshall
