canonical_id,canonical_name,facility_address,facility_city,facility_state,facility_zip,lat,lon,geocode_source,google_lat,google_lon,source_lat,source_lon,source_name,divergence_km,address_quality,divergent
2009,El Paso Field Office,"11541 Montana Ave, Suite E",El Paso,TX,79936,31.80421399999999,-106.2910235,google_maps,31.80421399999999,-106.2910235,NA,NA,NA,NA,full,FALSE
2010,Harlingen Field Office,1717 Zoy Street,Harlingen,TX,78552,26.1776479,-97.714091,google_maps+vera_institute,26.1776479,-97.714091,26.178023,-97.714124,vera_institute,0.04183901285160656,full,FALSE
2011,Houston Field Office,126 Northpoint Drive,Houston,TX,77060,29.9375017,-95.40659,preference:google_maps,29.9375017,-95.40659,29.952045,-95.311156,vera_institute,9.336296961593666,full,TRUE
2012,Los Angeles Field Office,"300 North Los Angeles St., Room 7631",Los Angeles,CA,90012,34.053793,-118.2397435,google_maps+vera_institute,34.053793,-118.2397435,34.054044,-118.239721,vera_institute,0.027986794516420957,full,FALSE
2013,Miramar Sub Office,2805 SW 145th Ave,Miramar,FL,33027,25.9827432,-80.33946019999999,preference:google_maps,25.9827432,-80.33946019999999,25.919958,-80.154961,vera_institute,19.723627664176213,full,TRUE
2014,New Orleans Field Office,181 James Drive W,St. Rose,LA,70087,29.9857549,-90.2854711,preference:google_maps,29.9857549,-90.2854711,29.948091,-90.077862,vera_institute,20.43273079719801,full,TRUE
2015,New York City Field Office,"26 Federal Plaza, 9th Floor",New York,NY,10278,40.7152635,-74.0037546,google_maps+vera_institute,40.7152635,-74.0037546,40.715422,-74.003839,vera_institute,0.01900576035667222,full,FALSE
2016,Newark Field Office,"970 Broad St., 11th Floor",Newark,NJ,07102,40.7304926,-74.1742312,google_maps+vera_institute,40.7304926,-74.1742312,40.730364,-74.174986,vera_institute,0.06518879349148723,full,FALSE
2017,Philadelphia Field Office,114 North 8th Street,Philadelphia,PA,19107,39.9538838,-75.15313019999999,auto:google_maps+vera_institute,39.9538838,-75.15313019999999,39.95995,-75.16547,vera_institute,1.2494847785880292,full,TRUE
2018,Phoenix Field Office,2035 N. Central Avenue,Phoenix,AZ,85004,33.4708461,-112.0731981,google_maps+vera_institute,33.4708461,-112.0731981,33.470785,-112.07309,vera_institute,0.012111806854935623,full,FALSE
2019,Salt Lake City Field Office,"2975 Decker Lake Drive, Suite 100",West Valley City,UT,84119-6096,40.7062912,-111.9461895,auto:google_maps+vera_institute,40.7062912,-111.9461895,40.684576,-111.961248,vera_institute,2.7280201376347906,full,TRUE
2020,San Antonio Field Office,"1777 NE Loop 410, Floor 15",San Antonio,TX,78217,29.517042,-98.4366327,preference:google_maps,29.517042,-98.4366327,29.522182,-98.391827,vera_institute,4.372928132050613,full,TRUE
2021,San Diego Field Office,"880 Front Street, #2242",San Diego,CA,92101,32.7143776,-117.1645829,google_maps,32.7143776,-117.1645829,NA,NA,NA,NA,full,FALSE
2022,San Francisco Field Office,"630 Sansome Street, Rm 590",San Francisco,CA,94111,37.7962167,-122.401521,google_maps+vera_institute,37.7962167,-122.401521,37.796309,-122.401505,vera_institute,0.010359129960184725,full,FALSE
2023,Seattle Field Office,12500 Tukwila International Boulevard,Seattle,WA,98168,47.4907997,-122.2914497,google_maps+vera_institute,47.4907997,-122.2914497,47.490701,-122.291143,vera_institute,0.025524047671389594,full,FALSE
2024,St Paul Field Office,"1 Federal Drive, Suite 1601",Fort Snelling,MN,55111,44.8941668,-93.1948264,preference:google_maps,44.8941668,-93.1948264,44.860123,-93.230675,vera_institute,4.723228663851287,full,TRUE
2025,Washington Field Office,14797 Murdock Street,Chantilly,VA,20598-5216,38.9114848,-77.45867679999999,preference:google_maps,38.9114848,-77.45867679999999,38.880719,-77.22918,vera_institute,20.153453315910816,full,TRUE
2026,Birmingham Hold Room,1833 29th Ave S,HOMEWOOD,AL,35209,33.4792816,-86.7899669,google_maps+marshall_project,33.4792816,-86.7899669,33.479539,-86.79116,marshall_project,0.11429680101384088,full,FALSE
2027,Etowah ERO Hold Room,"800 Forrest Avenue, 3rd Floor",Gadsden,AL,35901,34.015507,-86.01235659999999,preference:google_maps,34.015507,-86.01235659999999,34.016508,-86.012396,vera_institute,0.11136534349613132,full,FALSE
2028,Fayetteville Hold Room,P.O. BOX 1188 2887 N POINT CIRCLE,FAYETTEVILLE,AR,72701,36.10463,-94.178449,preference:marshall_project,35.9980929,-94.0899911,36.10463,-94.178449,marshall_project,14.268035692476817,po_box,TRUE
2029,Fort Smith Holdroom,4991 Old Greenwood Rd,FORT SMITH,AR,72901,35.3354817,-94.3891997,google_maps+marshall_project,35.3354817,-94.3891997,35.3328677,-94.3878247,marshall_project,0.31629515015558896,full,FALSE
2030,Little Rock Hold Room,4501 E Roosevelt Road,Little Rock,AR,72206,34.7211076,-92.2249691,preference:google_maps,34.7211076,-92.2249691,34.723782,-92.307733,vera_institute,7.569920929884271,full,TRUE
2031,Texarkana Holdroom,100 NORTH STATELINE AVENUE,TEXARKANA,AR,71854,33.4208569,-94.0431833,google_maps+marshall_project,33.4208569,-94.0431833,33.420881,-94.043166,marshall_project,0.003123976346049955,full,FALSE
2032,Az Rem Op Coord Center (Arocc),130 N Robson,MESA,AZ,85204,33.4183833,-111.8375752,google_maps+marshall_project,33.4183833,-111.8375752,33.4180114,-111.8367566,marshall_project,0.08650067370891125,full,FALSE
2033,Tucson Ins Hold Room,6431 SOUTH COUNTRY CLUB ROAD,TUCSON,AZ,85706,32.1356653,-110.9248046,google_maps+marshall_project,32.1356653,-110.9248046,32.1353209,-110.9260223,marshall_project,0.1208837503171537,full,FALSE
2034,Yuma Holdroom,3911 S. PICO AVE.,YUMA,AZ,85365,32.6565319,-114.6117867,google_maps+marshall_project,32.6565319,-114.6117867,32.65579891,-114.6121807,marshall_project,0.08946260155716869,full,FALSE
2035,Bakerfield Hold,800 TRUXTUN,BAKERSFIELD,CA,93301,35.3736714,-119.0112192,google_maps+marshall_project,35.3736714,-119.0112192,35.37372,-119.01121,marshall_project,0.0054680712331347334,full,FALSE
2036,Fresno Holdroom,733 L STREET,FRESNO,CA,93721,36.7326978,-119.7856018,google_maps+marshall_project,36.7326978,-119.7856018,36.73267589,-119.7852956,marshall_project,0.02739569683592882,full,FALSE
2037,Imperial Sub Office Hold Room,"2409 La Brucherie Road, Suite 3",Imperial,CA,92251,32.8266637,-115.5793027,preference:google_maps,32.8266637,-115.5793027,32.678948,-115.498883,vera_institute,18.065078570473545,full,TRUE
2038,Santa Ana Dro Holdroom,34 CIVIC CENTER PLAZA,SANTA ANA,CA,90701,33.7484501,-117.8749858,google_maps+marshall_project,33.7484501,-117.8749858,33.748562,-117.875155,marshall_project,0.019988652128662916,full,FALSE
2039,Sacramento Hold,650 CAPITOL MALL,SACRAMENTO,CA,95814,38.57800230000001,-121.4999684,google_maps+marshall_project,38.57800230000001,-121.4999684,38.57813929,-121.4995672,marshall_project,0.038056848624618715,full,FALSE
2040,San Bernardino Hold Room,655 WEST RIALTO AVENUE,SAN BERNADINO,CA,92410,34.1006917,-117.2972977,google_maps+marshall_project,34.1006917,-117.2972977,34.10077,-117.297624,marshall_project,0.031280291935838124,full,FALSE
2041,Snj Hold Room,1887 MONTEREY ROAD,SAN JOSE,CA,95112,37.3080994,-121.8675044,preference:google_maps,37.3080994,-121.8675044,37.23883,-121.7742945,marshall_project,11.28491890710703,full,TRUE
2042,Stockton Staging Facility,22 EAST MARKET STREET,STOCKTON,CA,95202,37.9512028,-121.2900671,google_maps+marshall_project,37.9512028,-121.2900671,37.9511281,-121.2899487,marshall_project,0.013295425966813332,full,FALSE
2043,Ventura Custody Case,275 SKYWAY DRIVE,CAMARRILLO,CA,93010,34.2063593,-119.0772538,google_maps+marshall_project,34.2063593,-119.0772538,34.206389,-119.077197,marshall_project,0.00617978282142272,full,FALSE
2044,Westminster Custody,8200 WESTMINSTER BOULEVARD,WESTMINSTER,CA,92683,33.7531536,-118.0010421,auto:google_maps+marshall_project,33.7531536,-118.0010421,33.75919,-117.9919216,marshall_project,1.0777196988227888,full,TRUE
2045,Alamosa Holdroom,1921 STATE STREET,ALAMOSA,CO,81101,37.4893878,-105.8597721,google_maps+marshall_project,37.4893878,-105.8597721,37.487897,-105.8597891,marshall_project,0.16577618226882126,full,FALSE
2046,Craig Holdroom,466 TUCKER STREET,CRAIG,CO,81625,40.5136142,-107.5451612,google_maps+marshall_project,40.5136142,-107.5451612,40.51362644,-107.5449635,marshall_project,0.0167681169723659,full,FALSE
2047,Durango Holdroom,32 SHEPPARD DRIVE,DURANGO,CO,81303,37.2371432,-107.874248,google_maps+marshall_project,37.2371432,-107.874248,37.237142,-107.874147,marshall_project,0.008942170652972255,full,FALSE
2048,Frederick Holdroom,3770 PURITAN WAY,FREDERICK,CO,80516,40.08207549999999,-104.9849103,google_maps+marshall_project,40.08207549999999,-104.9849103,40.08366084,-104.9842897,marshall_project,0.18401890883463587,full,FALSE
2049,Grand Junction Holdroom,571 S. COMMERCIAL DRIVE,GRAND JUNCTION,CO,81501,39.0871873,-108.5858668,google_maps+marshall_project,39.0871873,-108.5858668,39.08742921,-108.5855331,marshall_project,0.03940889025228154,full,FALSE
2050,Glenwood Springs Holdroom,100 MIDLAND AVENUE,GLENWOOD SPRINGS,CO,81601,39.5582742,-107.3582581,preference:google_maps,39.5582742,-107.3582581,39.5150507,-107.3234023,marshall_project,5.659898768434913,full,TRUE
2051,Pueblo Holdroom,"935 CO-67 Florence, CO 81226",FLORENCE,CO,81226,38.4265663,-105.1156314,preference:google_maps,38.4265663,-105.1156314,38.393003,-105.116869,marshall_project,3.733626206814981,full,TRUE
