"fiscal_year","canonical_id","canonical_name","facility_name","facility_city","facility_state","detloc","facility_address","facility_zip","facility_type_detailed","facility_male_female","adp","source","facility_type_wiki","facility_aor","facility_average_length_of_stay_alos","adp_detainee_classification_level_a","adp_detainee_classification_level_b","adp_detainee_classification_level_c","adp_detainee_classification_level_d","adp_criminality_male_crim","adp_criminality_male_non_crim","adp_criminality_female_crim","adp_criminality_female_non_crim","adp_ice_threat_level_1","adp_ice_threat_level_2","adp_ice_threat_level_3","adp_no_ice_threat_level","adp_mandatory","inspections_guaranteed_minimum","inspections_last_inspection_type","inspections_last_inspection_standard","inspections_last_inspection_rating_final","inspections_last_inspection_date","inspections_second_to_last_inspection_type","inspections_second_to_last_inspection_standard","inspections_second_to_last_inspection_rating","inspections_second_to_last_inspection_date","sum_classification_levels","sum_criminality_levels","sum_threat_levels","share_non_crim","share_no_threat","inspections_odo_inspection_end_date","inspections_odo_last_inspection_standard","inspections_odo_final_rating","inspections_last_nakamoto_inspection_standard","inspections_last_nakamoto_inspection_rating_final","inspections_last_nakamoto_inspection_date","inspections_second_to_last_nakamoto_inspection_type","inspections_second_to_last_nakamoto_inspection_standard","inspections_second_to_last_nakamoto_inspection_date","inspections_last_inspection_end_date","inspections_pending_inspection","inspections_last_final_rating"
"FY25",113,"Douglas County","Douglas County","Superior","WI","DOUGLWI","1409 Hammond Avenue","54880","USMS IGA","Female/Male",3.3,NA,"Jail/Prison","SPM",4.4,1.1,1.6,0.6,0,0.7,2.4,0,0.2,0,0,0.2,3.1,1.3,NA,"ORSA","ORSA NDS 2019",NA,NA,NA,NA,NA,NA,3.3,3.3,3.3,0.787878787878788,0.939393939393939,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-02-10",NA,"Pending Final Rating"
"FY25",145,"Freeborn County Adult Detention Center","Freeborn County Adult Detention Center","Albert Lea","MN","FREEBMN","411 South Broadway Avenue","56007","IGSA","Male",81.6,NA,"Jail/Prison","SPM",37.7,16.1,15.5,37.6,12.4,44.9,36.7,0,0,10.4,4.3,3,63.9,65.6,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,81.6,81.6,81.6,0.449754901960784,0.783088235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-06",NA,"Pass"
"FY25",152,"Grand Forks County Correctional Facility","Grand Forks County Correctional Facility","Grand Forks","ND","GFCORND","1701 North Washington St","58203","USMS IGA","Female/Male",8.1,NA,"Jail/Prison","SPM",7.6,1.6,2,4.2,0.3,3.5,4.4,0,0.2,0,0.2,0.6,7.4,5.6,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,8.1,8.1,8.2,0.567901234567901,0.902439024390244,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-07-11",NA,"Pass"
"FY25",159,"Hardin County Jail","Hardin County Jail","Eldora","IA","HARDJIA","1116 14th Avenue","50627","IGSA","Female/Male",10.6,NA,"Jail/Prison","SPM",17.4,3.1,2.5,4.1,0.9,5.1,4.4,0.4,0.8,1.1,0.8,0.5,8.2,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,10.7,10.6,0.485981308411215,0.773584905660377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY25",156,"Hall County Department of Corrections","Hall County Department of Corrections","Grand Island","NE","HASHENE","110 Public Safety Drive","68801","IGSA","Female/Male",1.5,NA,"Jail/Prison","SPM",5.9,0.7,0.4,0.3,0.1,0.9,0.6,0,0,0,0,0.2,1.4,1,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,1.5,1.5,1.6,0.4,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pass"
"FY25",184,"Kandiyohi County Jail","Kandiyohi County Jail","Willmar","MN","KANDIMN","2201 23rd St NE","56201","IGSA","Female/Male",143.7,NA,"Jail/Prison","SPM",40.9,33.5,23.6,64.9,21.7,68.7,62.9,7.2,5,20.2,9.4,7.7,106.5,113.4,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,143.7,143.8,143.8,0.472183588317107,0.740611961057024,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-13",NA,"Pass"
"FY25",217,"Lincoln County Jail","Lincoln County Jail","North Platte","NE","LINCONE","302 N Jeffers","69101","USMS IGA","Female/Male",18.4,NA,"Jail/Prison","SPM",18.6,9.7,1.8,4.1,2.8,6.7,5.7,0.5,5.6,1.3,0.8,1.1,15.2,9.8,NA,"ORSA","ORSA NDS 2019",NA,NA,NA,NA,NA,NA,18.4,18.5,18.4,0.610810810810811,0.826086956521739,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-23",NA,"Pending Final Rating"
"FY25",218,"Linn County Jail","Linn County Jail","Cedar Rapids","IA","LINNJIA","53 3rd Avenue Bridge","52401","USMS IGA","Female/Male",9.5,NA,"Jail/Prison","SPM",15.5,3,3,2.8,0.7,5.3,3.5,0.2,0.5,0.4,0.4,1.3,7.4,6,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,9.5,9.5,9.5,0.421052631578947,0.778947368421053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pass"
"FY25",238,"Minnehaha County Jail","Minnehaha County Jail","Sioux Falls","SD","MINNESD","500 North Minnesota Avenue","57104","USMS IGA","Female/Male",2.3,NA,"Jail/Prison","SPM",2.5,0.8,0.9,0.4,0.2,0.6,1.6,0,0.1,0,0,0,2.3,1.5,NA,"ORSA","ORSA NDS 2019",NA,NA,NA,NA,NA,NA,2.3,2.3,2.3,0.739130434782609,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-06",NA,"Pass"
"FY25",249,"Muscatine County Jail","Muscatine County Jail","Muscatine","IA","MUSCAIA","400 Walnut Street","52761","USMS IGA","Female/Male",11.8,NA,"Jail/Prison","SPM",17.4,3.6,4.8,0.9,2.5,5.8,4.6,0.2,1.3,1.9,0.4,0.6,9,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,11.9,11.9,0.495798319327731,0.756302521008403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY25",268,"Northwest Regional Corrections Center","Northwest Regional Corrections Center","Crookston","MN","NWRCCMN","816 Marin Ave., Suite 110","56716","USMS IGA","Female/Male",4,NA,"Jail/Prison","SPM",9.4,2,0.8,1.2,0,0.7,2.7,0.1,0.6,0,0,0.1,4,2.9,NA,"ORSA","ORSA NDS 2019",NA,NA,NA,NA,NA,NA,4,4.1,4.1,0.804878048780488,0.975609756097561,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-03",NA,"Pass"
"FY25",285,"Pennington County Jail (South Dakota)","Pennington County Jail (South Dakota)","Rapid City","SD","PENNISD","300 Kansas City Street None","57701","USMS IGA","Female/Male",2.6,NA,"Jail/Prison","SPM",7.2,0.8,1,0.6,0.2,0.9,1.7,0,0.1,0.1,0.1,0,2.5,1.8,NA,"ORSA","ORSA NDS 2019",NA,NA,NA,NA,NA,NA,2.6,2.7,2.7,0.666666666666667,0.925925925925926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pass"
"FY25",288,"Phelps County Jail (Nebraska)","Phelps County Jail (Nebraska)","Holdrege","NE","PHELPNE","715 5th Avenue","68949","USMS IGA","Female/Male",31.2,NA,"Jail/Prison","SPM",38.3,4.4,6.5,11.4,8.9,23.3,6.2,1.3,0.3,2.1,1.3,1.4,26.3,26.3,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,31.2,31.1,31.1,0.209003215434084,0.845659163987138,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-02-06",NA,"Pass"
"FY25",297,"Polk County Jail","Polk County Jail","Des Moines","IA","POLKJIA","1985 NE 51st Place","50313","USMS IGA","Female/Male",43.6,NA,"Jail/Prison","SPM",27.5,11.3,14.3,9.6,8.4,31.2,11.2,0.5,0.7,2.7,1.6,2.1,37.2,37.6,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,43.6,43.6,43.6,0.272935779816514,0.853211009174312,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-02-06",NA,"Fail"
"FY25",300,"Pottawattamie County Jail","Pottawattamie County Jail","Council Bluffs","IA","POTTAIA","1400 Big Lake Road","51501","USMS IGA","Female/Male",37,NA,"Jail/Prison","SPM",21.8,4.9,5.2,12.5,14.4,29.6,5.6,0.9,0.9,6.5,1.7,1.4,27.5,30.9,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,37,37,37.1,0.175675675675676,0.741239892183288,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-24",NA,"Pass"
"FY25",330,"Sarpy County Jail","Sarpy County Jail","Papillion","NE","SARPYNE","1208 Golden Gate Drive","68046","USMS IGA","Female/Male",4.9,NA,"Jail/Prison","SPM",18.5,0.5,1.6,1.7,1.1,4.5,0.3,0.2,0,1.2,1.2,0.3,2.2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,5,4.9,0.06,0.448979591836735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY25",335,"Sherburne County Jail","Sherburne County Jail","Elk River","MN","SHERBMN","13880 Business Center Drive","55330","IGSA","Male",62.7,NA,"Jail/Prison","SPM",24.3,12.3,16.2,27,7.2,29.4,29,3.1,1.3,8.9,3.8,2.6,47.4,50.1,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,62.7,62.8,62.7,0.482484076433121,0.755980861244019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-05-02",NA,"Pass"
"FY25",377,"Ward County Jail","Ward County Jail","Minot","ND","WARDCND","P.o. Box 907","58702","USMS IGA","Female/Male",1.1,NA,"Jail/Prison","SPM",3.6,0.4,0.3,0.4,0,0.4,0.6,0,0.1,0,0.1,0,1.1,0.9,NA,"ORSA","ORSA NDS 2019",NA,NA,NA,NA,NA,NA,1.1,1.1,1.2,0.636363636363636,0.916666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-19",NA,"Pending Final Rating"
"FY25",392,"Woodbury County Jail","Woodbury County Jail","Sioux City","IA","WOODBIA","407 7th Street","51101","USMS IGA","Female/Male",29.1,NA,"Jail/Prison","SPM",22.2,8.8,5.8,9.3,5.2,14.5,11.9,0.5,2.3,1.6,0.8,1.9,24.8,20.6,NA,"ORSA","ORSA NDS 2019",NA,NA,NA,NA,NA,NA,29.1,29.2,29.1,0.486301369863014,0.852233676975945,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-03-26",NA,"Pass"
"FY25",53,"Caroline Detention Facility","Caroline Detention Facility","Bowling Green","VA","CARDFVA","11093 S.w. Lewis Memorial Drive","22427","DIGSA","Female/Male",302.9,NA,"Dedicated Migrant Detention Center","WAS",46.2,112.6,49.8,70.2,70.3,128.5,160.2,8.5,5.8,32.1,11.1,12.5,247.3,208.9,224,"ODO","PBNDS 2011 - 2016 Revised",NA,NA,NA,NA,NA,NA,302.9,303,303,0.547854785478548,0.816171617161716,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-17",NA,"Pass"
"FY25",303,"Farmville Detention Center","Prince Edward County (Farmville)","Farmville","VA","FRMVLVA","508 Waterworks Road","23901","DIGSA","Male",589.4,NA,"Dedicated Migrant Detention Center","WAS",42.4,189.5,112.1,160.7,127.1,285.9,302.9,0,0.4,44.6,18.2,24.6,501.9,411.6,459,"ODO","PBNDS 2011 - 2016 Revised",NA,NA,NA,NA,NA,NA,589.4,589.2,589.3,0.514765784114053,0.851688443916511,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-19",NA,"Pass"
"FY25",320,"Rockingham County Jail","Rockingham County Jail","Harrisonburg","VA","ROCKIVA","25 South Liberty Street","22801","USMS IGA","Female/Male",1,NA,"Jail/Prison","WAS",1.6,0.3,0.2,0.3,0.2,0.7,0.3,0,0,0,0,0,1.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.1,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY25",316,"Riverside Regional Jail","Riverside Regional Jail","Hopewell","VA","RSREGVA","1000 River Road","23860","USMS IGA","Female/Male",6.6,NA,"Jail/Prison","WAS",3,3.4,2.7,0.4,0.1,0.9,5.7,0,0.1,0,0,0,6.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,6.7,6.6,0.865671641791045,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY25",388,"Western Virginia Regional Jail","Western Virginia Regional Jail","Salem","VA","WVIRGVA","5885 W River Rd","24153","USMS IGA","Female/Male",1.5,NA,"Jail/Prison","WAS",2.3,0.8,0.4,0.2,0.1,0.4,1,0,0,0,0,0,1.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.4,1.5,0.714285714285714,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY26",3,"Adams County Detention Center (Mississippi)","Adams County Correctional Center","Natchez","MS","ADAMSMS","20 Hobo Fork Rd.","39120","DIGSA","Male",2161.6,NA,"Dedicated Migrant Detention Center","NOL",38.6,1716.7,290.7,97.6,56.6,191.4,1970.2,0,0,62.7,62,115,1921.8,1376.4,1436,"ODO","PBNDS 2011 - 2016 Revisions",NA,NA,NA,NA,NA,NA,2161.6,2161.6,2161.5,0.911454478164323,0.88910478834143,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45673",NA,"Pass"
"FY26",105,"Adelanto ICE Processing Center","Adelanto ICE Processing Center","Adelanto","CA","ADLNTCA","10250 Rancho Road","92301","CDF","Male",1807,NA,"Private Migrant Detention Center","LOS",47,678.7,191.9,439.2,497.2,709.4,838.9,33.9,224.9,532.7,184.1,145.7,944.6,805.8,640,"ODO","PBNDS 2011 - 2016 Revisions",NA,NA,NA,NA,NA,NA,1807,1807.1,1807.1,0.588677992363455,0.522715953738033,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45918",NA,"Pass"
"FY26",7,"Alexandria Staging Facility","Alexandria Staging Facility","Alexandria","LA","JENATLA","96 George Thompson Dr.","71303","STAGING","Male",412.6,NA,"ICE Short-Term Migrant Detention Center","NOL",2.5,245.6,66,59.6,41.4,92.4,319.6,0,0.6,49.2,25.4,38.2,299.8,289.4,NA,"ODO","PBNDS 2011 - 2016 Revisions",NA,NA,NA,NA,NA,NA,412.6,412.6,412.6,0.776054289869123,0.726611730489578,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45715",NA,"Pass"
"FY26",8,"Allegany County Jail","Allegany County Jail","Belmont","NY","ALLEGNY","4884 State Route 19","14813","USMS IGA","Female/Male",5.1,NA,"Jail/Prison","BUF",7.4,5.1,0,0,0,0,0,0.2,4.9,0,0,0.2,4.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,5.1,5.1,0.96078431372549,0.96078431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scheduled FY26",NA,NA
"FY26",10,"Allen Parish Public Safety Complex","Allen Parish Public Safety Complex","Oberlin","LA","APPSCLA","7340 Highway 26 West","70655","IGSA","Male",149.9,NA,"Jail/Prison","NOL",68.2,83.4,10.8,45,10.7,50.9,99.1,0,0,39.6,16,3.3,91.2,104.8,170,"ODO","PBNDS 2011 - 2016 Revisions",NA,NA,NA,NA,NA,NA,149.9,150,150.1,0.660666666666667,0.607594936708861,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45638",NA,"Pass"
"FY26",11,"Anchorage Correctional Complex","Anchorage Correctional Complex","Anchorage","AK","ANCHOAK","1400 E. 4th Ave","99501","USMS IGA","Male",2.8,NA,"Jail/Prison","SEA",5.2,2,0.3,0.3,0.2,0.3,2.4,0,0,0.3,0.1,0,2.2,1.1,NA,"ORSA","ORSA NDS 2019",NA,NA,NA,NA,NA,NA,2.8,2.7,2.6,0.888888888888889,0.846153846153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45380",NA,"Pass"
"FY26",14,"Baker Correctional Institution","Baker Correctional Institution","Sanderson","FL","FLDADCI","20706 Us 90 W","32087","STATE","Male",859.3,NA,"State Migrant Detention Center","MIA",16.5,445.9,163.9,140.4,109.1,216.8,642.5,0,0,135.2,54.3,74.2,595.6,399.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,859.3,859.3,859.3,0.747701617595718,0.693122308856046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY26",16,"Baker County Sheriff's Office","Baker County Sheriff Department.","Macclenny","FL","BAKERFL","1 Sheriff Office Drive","32063","IGSA","Female/Male",286.7,NA,"Jail/Prison","MIA",46.1,69.1,36.7,114.1,66.8,77.1,105.3,26.5,77.8,60.8,23.8,31.1,170.9,141.5,250,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,286.7,286.7,286.6,0.638646668991978,0.596301465457083,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45589",NA,"Pass"
"FY26",17,"Baldwin County Correctional Center","Baldwin County Correctional Center","Bay Minette","AL","BALDWAL","200 Hand Ave.","36507","USMS IGA","Female/Male",18.8,NA,"Jail/Prison","NOL",3.2,14.1,2.3,1.3,1.1,2.2,15.4,0.1,1.2,0.7,0.8,1.6,15.7,8.2,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,18.8,18.9,18.8,0.878306878306878,0.835106382978723,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45561",NA,"Fail"
"FY26",23,"Berlin Federal Correctional Institution","Berlin Federal Correctional Institution","Berlin","NH","BOPBER","1 Success Loop Dr.","03570","BOP","Male",201.7,NA,"Federal Prison","BOS",58.1,106.7,17,54.5,23.5,34.4,167,0,0.2,18.2,7.6,13.8,162,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.7,201.6,201.6,0.829365079365079,0.803571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY26",25,"Bluebonnet Detention Center","Bluebonnet Detention Center","Anson","TX","BLBNATX","400 2nd Street","79501","DIGSA","Female/Male",1043.9,NA,"Dedicated Migrant Detention Center","DAL",21,595.1,139.8,206.2,102.8,247.6,665.5,8.4,122.3,128.5,80.6,109.1,725.6,527.6,750,"ODO","PBNDS 2011 - 2016 Revisions",NA,NA,NA,NA,NA,NA,1043.9,1043.8,1043.8,0.754742287794597,0.69515232803219,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45638",NA,"Pass"
"FY26",26,"Boone County Jail","Boone County Jail","Burlington","KY","BOONEKY","3020 Conrad Lane","41005","USMS IGA","Female/Male",201,NA,"Jail/Prison","CHI",55.1,81.5,31.5,50.6,37.4,91.8,103.9,0.7,4.5,41.2,35.2,29.5,95,112.9,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,201,200.9,200.9,0.539571926331508,0.472872075659532,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45617",NA,"Pass"
"FY26",31,"Brooklyn MDC","Brooklyn MDC","Brooklyn","NY","BOPBRO","100 29th Street","11232","BOP","Female/Male",111.2,NA,"Federal Prison","NYC",49.7,91.4,19.1,0.4,0.3,24.9,86.2,0,0,3.1,11.9,12.2,83.9,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.2,111.1,111.1,0.775877587758776,0.755175517551755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY26",34,"Broome County Jail","Broome County Jail","Binghamton","NY","BROMMNY","897 Front Street","13905","USMS IGA","Female/Male",46.9,NA,"Jail/Prison","BUF",48.7,42.3,2.2,1.3,1.1,2.8,44,0,0,1.1,0.1,4.2,41.4,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9,46.8,46.8,0.94017094017094,0.884615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scheduled FY26",NA,NA
"FY26",35,"Broward County Jail","Broward County Jail","Fort Lauderdale","FL","BROJAFL","555 SE 1st Avenue","33301","IGSA","Female/Male",2.8,NA,"Jail/Prison","MIA",1,0.6,0.5,1.1,0.6,0.4,1.8,0,0.5,0.3,0.1,0.1,2.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.7,2.8,0.851851851851852,0.821428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY26",36,"Broward Transitional Center","Broward Transitional Center","Pompano Beach","FL","WCCPBFL","3900 North Powerline Road","33073","CDF","Female/Male",679,NA,"Private Migrant Detention Center","MIA",21.4,486.8,176.6,10.5,5.1,64.2,515.1,7.6,92.2,13.9,22.4,55.8,586.9,320.2,700,"ODO","PBNDS 2011 - 2016 Revisions",NA,NA,NA,NA,NA,NA,679,679.1,679,0.894271830363717,0.864359351988218,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45645",NA,"Pass"
"FY26",38,"Buffalo (Batavia) Service Processing Center","Buffalo Service Processing Center","Batavia","NY","BTV","4250 Federal Drive","14020","SPC","Male",737.9,NA,"ICE Migrant Detention Center","BUF",37.5,579.8,48.2,47.1,62.8,128,609.9,0,0,92.4,22.5,37.2,585.9,246.8,400,"ODO","PBNDS 2011 - 2016 Revisions",NA,NA,NA,NA,NA,NA,737.9,737.9,738,0.826534760807697,0.79390243902439,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45596",NA,"Pass"
"FY26",39,"Burleigh County Detention Center","Burleigh County Detention Center","Bismarck","ND","BURLEND","4000 Apple Creek Road","58504","USMS IGA","Female/Male",16.7,NA,"Jail/Prison","SPM",27.9,4.2,7.5,4.5,0.5,2.4,13.2,0,1.1,1.3,0.7,1.1,13.6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,16.7,16.7,0.856287425149701,0.81437125748503,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scheduled FY26",NA,NA
"FY26",42,"Butler County Jail","Butler County Jail","Hamilton","OH","BUTLEOH","705 Hanover Street","45011","USMS IGA","Female/Male",359.9,NA,"Jail/Prison","DET",31.5,143.1,163.3,40.5,13,60.7,272.2,4.4,22.6,23,16.6,40.1,280.3,194.3,NA,"ORSA","ORSA NDS 2019",NA,NA,NA,NA,NA,NA,359.9,359.9,360,0.819116421228119,0.778611111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fail"
"FY26",46,"Calhoun County Correctional Center","Calhoun County Correctional Center","Battle Creek","MI","CALHOMI","185 East Michigan Avenue","49014","IGSA","Female/Male",172.6,NA,"Jail/Prison","DET",51.3,143.4,11.9,8.4,8.9,18.1,135.5,0.4,18.6,9.8,2.9,9.6,150.3,75.3,75,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,172.6,172.6,172.6,0.892815758980301,0.870799536500579,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45393",NA,"Pass"
"FY26",48,"California City Immigration Processing Center","California City Immigration Processing Center","California City","CA","CACTYCA","22844 Virginia Boulevard","93505","CDF","Female/Male",1035.6,NA,"Private Migrant Detention Center","SFR",45.3,623.4,91.4,147.6,173.2,264.2,582,26.5,163,204,49.3,70.5,711.9,330.2,2560,"PREOCC","NDS 2019",NA,NA,NA,NA,NA,NA,1035.6,1035.7,1035.7,0.719320266486434,0.687361204982138,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45765",NA,"Pass"
"FY26",50,"Cambria County Prison","Cambria County Prison","Ebensburg","PA","CAMBRPA","425 Manor Drive","15931","USMS IGA","Male",31,NA,"Jail/Prison","PHI",4.9,21.1,3.7,3.6,2.6,3.5,15.8,1.6,10.3,3.9,1.8,1.3,24.2,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31.2,31.2,0.836538461538461,0.775641025641026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY26",52,"Campbell County Detention Center","Campbell County Detention Center","Newport","KY","CPBDCKY","601 Central Ave","41071","USMS IGA","Female/Male",140.1,NA,"Jail/Prison","CHI",63.9,97.5,25.2,9.9,7.5,26.3,87.4,3.9,22.3,8.5,9.7,16.4,105.3,60.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.1,139.9,139.9,0.784131522516083,0.752680486061473,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scheduled FY26",NA,NA
"FY26",53,"Caroline Detention Facility","Caroline Detention Facility","Bowling Green","VA","CARDFVA","11093 S.w. Lewis Memorial Drive","22427","DIGSA","Female/Male",343.9,NA,"Dedicated Migrant Detention Center","WAS",49.9,113.1,112.5,60.7,57.6,106.5,224.3,4.8,8.3,71,29.5,27.2,216.2,160.4,224,"ODO","PBNDS 2011 - 2016 Revisions",NA,NA,NA,NA,NA,NA,343.9,343.9,343.9,0.676359406804304,0.62867112532713,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45764",NA,"Pass"
"FY26",56,"Cascade County Jail, Montana","Cascade County Jail, Montana","Great Falls","MT","CASCAMT","3800 Ulm North Frontage Road","59404","USMS IGA","Male",3.9,NA,"Jail/Prison","SLC",6.4,1.4,1.7,0.6,0.2,0.8,3,0,0,0.6,0.1,0.8,2.3,2.4,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,3.9,3.8,3.8,0.789473684210526,0.605263157894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45225",NA,"Fail"
"FY26",57,"Cass County Jail","Cass County Jail","Plattsmouth","NE","CASSCNE","336 Main Street","68048","USMS IGA","Female/Male",14.8,NA,"Jail/Prison","SPM",23.8,6.2,1.5,4.3,2.8,6.2,7.3,0.6,0.5,2.4,2.5,2.6,7.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,14.6,14.7,0.534246575342466,0.489795918367347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY26",61,"Central Arizona Florence Correctional Complex","Central Arizona Florence Correctional Complex","Florence","AZ","CCADCAZ","1100 Bowling Road","85232","USMS CDF","Male",517.4,NA,"Private Migrant Detention Center","PHO",55.3,175.1,58.1,155.4,128.8,229.6,287.3,0,0.5,123.9,54.2,73,266.3,300.1,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,517.4,517.4,517.4,0.556242752222652,0.51468882875918,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45638",NA,"Pass"
"FY26",208,"Central Louisiana ICE Processing Center (CLIPC)","Central Louisiana ICE Processing Center (CLIPC)","Jena","LA","JENADLA","830 Pinehill Road","71342","IGSA","Male",1172.5,NA,"Jail/Prison","NOL",25.6,654.5,182.5,204.7,130.8,245.9,926.2,0,0.4,133.3,66.5,104.1,868.5,756.2,1170,"ODO","PBNDS 2011 - 2016 Revisions",NA,NA,NA,NA,NA,NA,1172.5,1172.5,1172.4,0.790277185501066,0.74078812691914,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45666",NA,"Pass"
"FY26",66,"Chase County Jail","Chase County Jail","Cottonwood Falls","KS","CHASEKS","301 South Walnut Street","66845","IGSA","Female/Male",112.6,NA,"Jail/Prison","CHI",22.2,47.4,22.1,25.4,17.7,35.5,65.3,2.1,9.6,17.3,6.5,20.3,68.5,69.8,NA,"ODO","NDS 2019",NA,NA,NA,NA,NA,NA,112.6,112.5,112.6,0.665777777777778,0.608348134991119,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45729",NA,"Pass"
"FY26",68,"Chavez Detention Center","Chavez Detention Center","Roswell","NM","CHAVENM","3701 S. Atkinson","88201","USMS IGA","Female/Male",1.9,NA,"Jail/Prison","ELP",1.1,0.2,1.5,0.1,0.1,0.3,1.3,0,0.3,0.1,0.1,0.2,1.5,1,NA,"ODO OASIP","FPBDS",NA,NA,NA,NA,NA,NA,1.9,1.9,1.9,0.842105263157895,0.789473684210526,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46030",NA,"Pending Final Report"
