canonical_id,canonical_name,canonical_city,canonical_state
308,Rensselaer County Correctional Facility,Troy,NY
310,Richwood Correctional Center,Monroe,LA
311,Rio Grande County Jail,Del Norte,CO
312,Rio Grande Detention Center,Laredo,TX
313,Port Isabel Detention Center,Los Fresnos,TX
314,River Correctional Center,Ferriday,LA
315,Riverside County Sheriff,Riverside,CA
316,Riverside Regional Jail,Hopewell,VA
317,Roanoke City Jail,Roanoke,VA
318,Robert A. Deyton Detention Center,Lovejoy,GA
320,Rockingham County Jail,Harrisonburg,VA
321,Rolling Plains Detention Center,Haskell,TX
323,Saint Tammany Parish Jail,Covington,LA
324,Saipan Department of Corrections (Susupe),Saipan,MP
325,Saline County Jail,Wilber,NE
326,Salt Lake County Metro Jail,Salt Lake City,UT
327,San Diego District Staging,San Diego,CA
328,San Juan Staging,Guaynabo,PR
329,San Luis Regional Detention Center,San Luis,AZ
330,Sarpy County Jail,Papillion,NE
331,Sauk County Sheriff,Baraboo,WI
332,Sebastian County Detention Center,Fort Smith,AR
333,Seneca County Jail,Tiffin,OH
334,Shawnee County Department of Corrections,Topeka,KS
335,Sherburne County Jail,Elk River,MN
336,Sioux County Jail,Orange City,IA
337,South Central Regional Jail,Charleston,WV
339,South Louisiana ICE Processing Center,Basile,LA
341,South Texas Family Residential Center,Dilley,TX
343,South Texas ICE Processing Center,Pearsall,TX
344,Southern Regional,Beaver,WV
345,Southwestern Regional Jail,Holden,WV
346,St. Clair County Jail,Port Huron,MI
347,Ste. Genevieve County Sheriff/Jail,Ste. Genevieve,MO
348,Stewart Detention Center,Lumpkin,GA
349,Story County Jail,Nevada,IA
350,Strafford County Corrections,Dover,NH
351,Suffolk County House of Corrections,Boston,MA
352,Suites On Scottsdale-Casa De Alegría,Scottsdale,AZ
353,Sunny Glen CLD Home NDR Center,Raymondville,TX
354,Sweetwater County Jail,Rock Springs,WY
356,T. Don Hutto Detention Center,Taylor,TX
357,Northwest ICE Processing Center,Tacoma,WA
358,Tallahatchie County Correctional Facility,Tutwiler,MS
359,Teller County Jail,Divide,CO
360,Texas Health Huguley Hospital,Burleson,TX
361,Theo Lacy Facility,Orange,CA
362,Tooele County Jail,Tooele,UT
363,Tornillo-Guadalupe POE,Tornillo,TX
364,Torrance County Detention Facility,Estancia,NM
365,Trusted Adult Karnes Fsc,San Antonio,TX
366,Dilley Immigration Processing Center,Dilley,TX
367,Tulsa County Jail (David L. Moss Justice Center),Tulsa,OK
368,Turner Guilford Knight (TGK) Jail,Miami,FL
369,Two Bridges Regional Jail,Wiscasset,ME
370,Uinta County Jail,Evanston,WY
371,Val Verde Correctional Facility,Del Rio,TX
372,Victoria County Jail,Victoria,TX
373,Virginia Peninsula Regional Jail,Williamsburg,VA
374,Wake County Sheriff Department,Raleigh,NC
375,Wakulla County Jail,Crawfordville,FL
376,Walton County Jail,Defuniak Springs,FL
377,Ward County Jail,Minot,ND
378,Washington County Detention Center,Fayetteville,AR
380,Washington County Jail (Purgatory Correctional Facility),Hurricane,UT
381,Washoe County Jail,Reno,NV
382,Waukesha County Jail,Waukesha,WI
