canonical_id,address_string,google_lat,google_lon
221,"18198 Tunica Trace Bldg E, Angola, LA, 70712, USA",30.9406293,-91.5684209
222,"811 Main Street, Lubbock, TX, 79401, USA",33.5852981,-101.8436702
223,"2935 Highway 51, Canton, MS, 39046, USA",32.5865785,-90.0453383
224,"110 Fifth Avenue, Youngstown, OH, 44503, USA",41.1042306,-80.6549256
225,"3026 Hwy 252 East, Folkston, GA, 31537, USA",30.8763257,-81.97801609999999
226,"695 Justice Way, Indianapolis, IN, 46203, USA",39.754849,-86.1127175
227,"2369 Jessup Avenue, Marshalltown, IA, 50158, USA",42.01046119999999,-93.0595669
228,"800 Southeast Monterey Road, Stuart, FL, 34994, USA",27.1719467,-80.2419377
229,"2309 N Highway 83, McCook, NE, 69001, USA",40.2146455,-100.6502029
230,"2200 North Seminary Avenue, Woodstock, IL, 60098, USA",42.3408464,-88.44099399999999
231,"425 Golden State Ave, Bakersfield, CA, 93301, USA",35.3799739,-119.0064452
232,"3038 West 850 South P.o. Box 900, Bunker Hill, IN, 46914, USA",40.644835,-86.13349339999999
233,"33 NE 4 Street, Miami, FL, 33132, USA",25.7785364,-80.1932264
234,"Unavailable, Miami, FL, 33101, USA",25.7783254,-80.1990136
235,"400 S Main Street, Midland, TX, 79701, USA",31.994141,-102.0750416
236,"2300 East Street, Texarkana, AR, 71854, USA",33.4011832,-94.0223446
237,"1415 Albion Avenue, Burley, ID, 83318, USA",42.5350478,-113.7911723
238,"500 North Minnesota Avenue, Sioux Falls, SD, 57104, USA",43.5526943,-96.7304941
239,"5501 College Road, Key West, FL, 33040, USA",24.576552,-81.751438
240,"7000 East Dunbar Road, Monroe, MI, 48161, USA",41.89553069999999,-83.39339439999999
241,"320 North Ripley Street, Montgomery, AL, 36104, USA",32.3819047,-86.2979896
242,"Park Street, Fonda, NY, 12068, USA",42.9531454,-74.3726886
243,"211 East Third Street, Montgomery City, MO, 63361, USA",38.9795443,-91.5047677
244,"806 Hilbig Rd, Conroe, TX, 77301, USA",30.3360804,-95.4425066
245,"211 East Newton Street, Versailles, MO, 65084, USA",38.4321028,-92.8397605
246,"101 Home Road, Mount Gilead, OH, 43338, USA",40.5600739,-82.8067453
248,"555 Geo Drive, Philipsburg, PA, 16866, USA",40.9184435,-78.2428977
249,"400 Walnut Street, Muscatine, IA, 52761, USA",41.4244034,-91.0446241
250,"100 Carman Avenue, East Meadow, NY, 11554, USA",40.7322545,-73.553505
251,"299 Edwina Dr., Natchitoches, LA, 71457, USA",31.7302787,-93.0994456
252,"1100 Bruce Lane, Casper, WY, 82601, USA",42.8626014,-106.3455262
253,"5061 Highway 3127, Killona, LA, 70057, USA",29.9931553,-90.5020311
254,"2190 East Mesquite Avenue, Pahrump, NV, 89060, USA",36.252992,-115.975308
255,"3950 Juvenile Rd, Castle Hayne, NC, 28429, USA",34.3557241,-77.8999864
256,"5526 Niagara Street Extention, Lockport, NY, 14094, USA",43.1801046,-78.73699300000001
257,"1530 Airport Road, Worthington, MN, 56187, USA",43.6481147,-95.5899823
258,"#1 Lois Lane, Greenwood, WV, 26415, USA",39.2809184,-80.8534092
260,"1805 W 32nd St, Baldwin, MI, 49304, USA",43.9284879,-85.83946130000001
262,"2240 Hubbard Road, Youngstown, OH, 44505, USA",41.13167869999999,-80.63199780000001
263,"211 Webber Road, The Dalles, OR, 97058, USA",45.6134532,-121.201599
264,"211 Webber Street, The Dalles, OR, 97058, USA",45.6134532,-121.201599
265,"Rd. 2, Box 1, Moundsville, WV, 26041, USA",39.9258505,-80.7362235
268,"816 Marin Ave., Suite 110, Crookston, MN, 56716, USA",47.7688993,-96.6284825
269,"3649 Lower Newton Road, Swanton, VT, 05488, USA",44.8497953,-73.1318053
271,"1520 E. Basin Road, Pahrump, NV, 89060, USA",36.2206495,-115.9869885
272,"103 Jefferson Street, Oregon, IL, 61061, USA",42.0130434,-89.3297367
273,"314 W. 7th Street, Okmulgee, OK, 74447, USA",35.6221933,-95.9745498
274,"3405 W Hwy 146, La Grange, KY, 40031, USA",38.38929359999999,-85.4237673
278,"3855 South John Young Parkway, Orlando, FL, 32839, USA",28.5038535,-81.4163786
279,"110 Wells Farm Road, Goshen, NY, 10924, USA",41.4047777,-74.3601231
281,"7488 Calzada De La Fuente, San Diego, CA, 92154, USA",32.5750242,-116.9147637
282,"1958 Dr M.L.K. Jr. Dr, Alamogordo, NM, 88310, USA",32.8520298,-106.0077303
283,"26 Mcgregor Range Road, Chaparral, NM, 88081, USA",32.0802208,-106.281786
284,"1818 County Road 806, Gainesville, MO, 65655, USA",36.6032101,-92.4596506
285,"300 Kansas City Street None, Rapid City, SD, 57701, USA",44.0783468,-103.222046
287,"301 W. 2nd, Rolla, MO, 65401, USA",37.9454123,-91.7726412
